,X,point_ID,study,study_ID,location,country,region,lat,long,reef.type,reef.zone,mindepth,maxdepth,disturbance,distrubance.year,pre.dist.cc,pre.dist.year,post.dist.cc,post.dist.year,recovery.cc,recovery.year,resistance.time,recovery_time,calculated.recovery.rate,recovery.rate,resistance,resistance.rate,richness,hii100km,hii75km,hii50km,hii25km,hii10km,distance_to_shore_m,MPA_status,MPA_during_recov,MPA_during_resist,yrs_as_MPA_pre_dist,years_of_recov_protected,percent_recov_protected,MPA_name,MPA_designation,MPA_DESIG_TYPE,MPA_IUCN_CAT,NO_TAKE,STATUS,STATUS_YR,river,riv_row,dist_to_riv_m,coast,dist_to_riv_km,name,name_alt,hii500km,hii1000km,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,gravity.point.ID,gravity.poly.ID,gravity.reef_ID,gravity.Grav_tot,travel_time.point.ID,travel_time.poly.ID,travel_time.reef_ID,travel_time.tt_pop,travel_time.tt_market
1,138,222,Arias-Gonzalez et al (2017),75,"Mahahual, Mexico",Mexico,Caribbean,18.7100001,-87.71,fringing,slope,12,18,Bleaching,1998,32.55,1997,25.68,1998,30,1999,1,1,4.32,NA,-6.87,-6.87,NA,259587,148474,74961,25564,4740,4.80E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,767,121,310479.84,207,310.47984,Ula,NA,7293533,20524344,0.29092918,0.432724,0,0.976262,0.5384729,0.6537873,0.47742839,4,1,NA,NA,NA,1,NA,NA,NA,NA
2,139,223,Arias-Gonzalez et al (2017),75,"Mahahual, Mexico",Mexico,Caribbean,18.7100001,-87.71,fringing,slope,12,18,"Disease, Dredging",1999,30,1990,20.2,2000,25.01,2001,10,1,4.81,NA,-9.8,-0.98,NA,259587,148474,74961,25564,4740,4.80E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,767,121,310479.84,207,310.47984,Ula,NA,7293533,20524344,0.29092918,0.432724,0,0.976262,0.5384729,0.6537873,0.47742839,4,2,NA,NA,NA,2,NA,NA,NA,NA
3,137,221,Manzello (2018),74,"Cheeca Rocks patch reef, Florida Keys, USA",Florida,Caribbean,24.8977001,-80.6182,,,2,6,Bleaching,2015,31.5,2015,30.3,2016,NA,N/A,1,NA,NA,NA,-1.2,-1.2,NA,123407,68366,25261,1927,502,2.63E+03,Inside,Yes,Yes,26,0,0,Florida Keys,National Marine Sanctuary,National,V: Protected Seascape,Part,Designated,1990,990,159,616852.44,206,616.85244,Saint Johns,NA,5270357,15909776,0.48062408,0.6663309,0,0.9249762,0,0.4961215,0.43526473,4,3,1247,1247,185,3,1247,1247,23,152
4,136,220,Madin et al (2018),73,"Lizard Island, GBR",Australia,W. Pacific,-14.6687999,145.4594,fringing,,1,2,Storm,2014,35.676,2014,19.69,2015,NA,N/A,1,NA,NA,NA,-15.986,-15.986,NA,42516,22980,6348,44,40,0.00E+00,Inside,Yes,Yes,34,0,0,Great Barrier Reef,World Heritage Site (natural or mixed),International,Not Applicable,Not Reported,Inscribed,1981,1081,167,1086527.06,22,1086.52706,Roper,NA,1550477,8204528,0.46369238,0.3107737,0,0.9952744,0.6466272,0,0.40593013,4,4,NA,NA,NA,4,NA,NA,NA,NA
5,134,219,Buglass et al (2015),72,"Black Jack Hole, Tobago",Laba,Caribbean,11.3000001,-60.5,fringing,slope,8,12,Bleaching,2010,15.6,2010,17.2,2011,13,2013,1,2,-2.1,NA,1.6,1.6,NA,26030,13015,12180,8018,2262,2.63E+03,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,233058.28,162,233.05828,Orinoco,NA,2797598,11297298,0.45144313,0.6601583,0,0.9268994,0.6730175,0.6682144,0.55896107,4,5,NA,NA,NA,5,NA,NA,NA,NA
6,131,216,Buglass et al (2015),72,"Western Buccoo, Tobago",Tobago,Caribbean,11.1800001,-60.85,fringing,slope,8,12,Bleaching,2010,20.2,2010,12.5,2011,13.6,2013,1,2,0.55,NA,-7.7,-7.7,NA,100868,41053,15893,7994,2073,5.32E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,201198.45,162,201.19845,Orinoco,NA,3167851,11904562,0.50630256,0.8695875,0,0.8552092,0.664374,0.8114164,0.61297299,2,6,7438,7450,78,6,7438,7450,13,276
7,132,217,Buglass et al (2015),72,"Colloden East, Tobago",Tobago,Caribbean,11.2500001,-60.75,fringing,slope,8,12,Bleaching,2010,24.3,2010,14.3,2011,12.2,2013,1,2,-1.05,NA,-10,-10,NA,68650,23050,12246,11896,5429,4.39E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,213403.58,162,213.40358,Orinoco,NA,3015028,11689229,0.42994138,0.9562056,0,0.9596857,0.7259453,0.7889558,0.63885906,4,7,NA,NA,NA,7,NA,NA,NA,NA
8,130,215,Buglass et al (2015),72,"Outer Buccoo, Tobago",Tobago,Caribbean,11.1900001,-60.82,fringing,slope,8,12,Bleaching,2010,28.3,2010,18.1,2011,20.2,2013,1,2,1.05,NA,-10.2,-10.2,NA,94765,36059,14816,9163,3194,3.44E+02,Inside,Yes,Yes,41,2,100,Buccoo Reef,Marine Reserve,National,IV: Protected Seascape: Habitat / Species Management Area,Not Reported,Designated,1970,1098,171,203780.94,162,203.78094,Orinoco,NA,3134802,11846457,0.48822835,0.9453257,0,0.9879295,0.7140466,0.826433,0.65589524,4,8,7438,7450,78,8,7438,7450,13,276
9,133,218,Buglass et al (2015),72,"Culloden West, Tobago",Tobago,Caribbean,11.2500001,-60.75,fringing,slope,8,12,Bleaching,2010,27.6,2010,12.5,2011,16,2013,1,2,1.75,NA,-15.1,-15.1,NA,68650,23050,12246,11896,5429,4.39E+02,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,213403.58,162,213.40358,Orinoco,NA,3015028,11689229,0.42994138,0.9562056,0,0.9596857,0.7259453,0.7889558,0.63885906,4,9,NA,NA,NA,9,NA,NA,NA,NA
10,129,214,Rodgers et al (2015),71,"Kanahena Point., Hawaii",Hawaii,E. Pacific,20.6000001,-156.44,fringing,slope,10,10,COTS,2005,38.44,1999,10.31,2007,25.63,2012,8,5,3.064,NA,-28.13,-3.51625,NA,109287,79172,63178,18830,2841,1.29E+03,Inside,Yes,Yes,34,5,100,Ahihi-Kinau,Natural Area Reserve,National,Ia: Strict Nature ReserV: Protected Seascapee,Not Reported,Designated,1973,368,60,3877045.96,251,3877.04596,San Joaquin,NA,405271,405271,NA,0.4345923,0,0,0.9491871,0.9281042,0.43914409,5,10,NA,NA,NA,10,NA,NA,NA,NA
