,X.1,X,point_ID,study,study_ID,location,country,region,lat,long,reef.type,reef.zone,mindepth,maxdepth,disturbance,distrubance.year,pre.dist.cc,pre.dist.year,post.dist.cc,post.dist.year,recovery.cc,recovery.year,resistance.time,recovery_time,calculated.recovery.rate,recovery.rate,resistance,resistance.rate,richness,hii100km,hii75km,hii50km,hii25km,hii10km,distance_to_shore_m,MPA_status,MPA_during_recov,MPA_during_resist,yrs_as_MPA_pre_dist,years_of_recov_protected,percent_recov_protected,MPA_name,MPA_designation,MPA_DESIG_TYPE,MPA_IUCN_CAT,NO_TAKE,STATUS,STATUS_YR,river,riv_row,dist_to_riv_m,coast,dist_to_riv_km,name,name_alt,hii500km,hii1000km,grav_NC,pop_cnt,nm_prts,reef_vl,sedimnt,nutrint,cml_scr,tp_thrt,gravity.point.ID,gravity.poly.ID,gravity.reef_ID,gravity.Grav_tot,travel_time.point.ID,travel_time.poly.ID,travel_time.reef_ID,travel_time.tt_pop,travel_time.tt_market,hii100km2,recovery_time2,distance_to_shore_m2,dist_to_riv_m2,hii500km2,grav_NC2,cml_scr2,gravity.Grav_tot2,travel_time.tt_pop2,simple_IGR,IGR,IGR_year_1,IGR_year_final,,,,
1,1,138,222,Arias-Gonzalez et al (2017),75,"Mahahual, Mexico",Mexico,Caribbean,18.7100001,-87.71,fringing,slope,12,18,Bleaching,1998,32.55,1997,25.68,1998,30,1999,1,1,4.32,NA,-6.87,-6.87,NA,259587,148474,74961,25564,4740,480,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,767,121,310479.84,207,310.47984,Ula,NA,7293533,20524344,0.29092918,0.432724,0,0.976262,0.5384729,0.6537873,0.47742839,4,1,NA,NA,NA,1,NA,NA,NA,NA,1.772322076,-1.095329117,-0.225946376,-0.853964526,1.814930041,-1.411637737,-0.138831073,NA,NA,0.155484903,3.560895618,1997,1998,,,,
2,5,134,219,Buglass et al (2015),72,"Black Jack Hole, Tobago",Laba,Caribbean,11.3000001,-60.5,fringing,slope,8,12,Bleaching,2010,15.6,2010,17.2,2011,13,2013,1,2,-2.1,NA,1.6,1.6,NA,26030,13015,12180,8018,2262,2630,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,233058.28,162,233.05828,Orinoco,NA,2797598,11297298,0.45144313,0.6601583,0,0.9268994,0.6730175,0.6682144,0.55896107,4,5,NA,NA,NA,5,NA,NA,NA,NA,-0.47982186,-0.82911514,-0.165219932,-0.915806262,0.200014172,-0.793504605,0.224214998,NA,NA,-0.973107207,2.213245426,2010,2011,,,,
3,6,131,216,Buglass et al (2015),72,"Western Buccoo, Tobago",Tobago,Caribbean,11.1800001,-60.85,fringing,slope,8,12,Bleaching,2010,20.2,2010,12.5,2011,13.6,2013,1,2,0.55,NA,-7.7,-7.7,NA,100868,41053,15893,7994,2073,532,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,201198.45,162,201.19845,Orinoco,NA,3167851,11904562,0.50630256,0.8695875,0,0.8552092,0.664374,0.8114164,0.61297299,2,6,7438,7450,78,6,7438,7450,13,276,0.241826165,-0.82911514,-0.224477644,-0.941254821,0.333007075,-0.582243021,0.464717522,-0.231573596,-0.284622076,-0.608806032,2.251291799,2010,2011,,,,
4,7,132,217,Buglass et al (2015),72,"Colloden East, Tobago",Tobago,Caribbean,11.2500001,-60.75,fringing,slope,8,12,Bleaching,2010,24.3,2010,14.3,2011,12.2,2013,1,2,-1.05,NA,-10,-10,NA,68650,23050,12246,11896,5429,439,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,213403.58,162,213.40358,Orinoco,NA,3015028,11689229,0.42994138,0.9562056,0,0.9596857,0.7259453,0.7889558,0.63885906,4,7,NA,NA,NA,7,NA,NA,NA,NA,-0.068845633,-0.82911514,-0.227104415,-0.931505774,0.278113868,-0.876307028,0.579982174,NA,NA,-0.851970766,2.171886846,2010,2011,,,,
5,8,130,215,Buglass et al (2015),72,"Outer Buccoo, Tobago",Tobago,Caribbean,11.1900001,-60.82,fringing,slope,8,12,Bleaching,2010,28.3,2010,18.1,2011,20.2,2013,1,2,1.05,NA,-10.2,-10.2,NA,94765,36059,14816,9163,3194,344,Inside,Yes,Yes,41,2,100,Buccoo Reef,Marine Reserve,National,IV: Protected Seascape: Habitat / Species Management Area,Not Reported,Designated,1970,1098,171,203780.94,162,203.78094,Orinoco,NA,3134802,11846457,0.48822835,0.9453257,0,0.9879295,0.7140466,0.826433,0.65589524,4,8,7438,7450,78,8,7438,7450,13,276,0.182976144,-0.82911514,-0.229787677,-0.939192015,0.32113605,-0.651846118,0.655840324,-0.231573596,-0.284622076,-0.583376514,2.544599194,2010,2011,,,,
6,9,133,218,Buglass et al (2015),72,"Culloden West, Tobago",Tobago,Caribbean,11.2500001,-60.75,fringing,slope,8,12,Bleaching,2010,27.6,2010,12.5,2011,16,2013,1,2,1.75,NA,-15.1,-15.1,NA,68650,23050,12246,11896,5429,439,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1098,171,213403.58,162,213.40358,Orinoco,NA,3015028,11689229,0.42994138,0.9562056,0,0.9596857,0.7259453,0.7889558,0.63885906,4,9,NA,NA,NA,9,NA,NA,NA,NA,-0.068845633,-0.82911514,-0.227104415,-0.931505774,0.278113868,-0.876307028,0.579982174,NA,NA,-0.446287103,2.370243741,2010,2011,,,,
7,10,129,214,Rodgers et al (2015),71,"Kanahena Point., Hawaii",Hawaii,E. Pacific,20.6000001,-156.44,fringing,slope,10,10,COTS,2005,38.44,1999,10.31,2007,25.63,2012,8,5,3.064,NA,-28.13,-3.51625,NA,109287,79172,63178,18830,2841,1290,Inside,Yes,Yes,34,5,100,Ahihi-Kinau,Natural Area Reserve,National,Ia: Strict Nature ReserV: Protected Seascapee,Not Reported,Designated,1973,368,60,3877045.96,251,3877.04596,San Joaquin,NA,405271,405271,NA,0.4345923,0,0,0.9491871,0.9281042,0.43914409,5,10,NA,NA,NA,10,NA,NA,NA,NA,0.323008916,-0.030473212,-0.203068041,1.994888425,-0.659296925,NA,-0.309302161,NA,NA,-0.69878867,1.828251015,1999,2007,,,,
8,11,127,212,Edmunds et al (2015),70,"LTER 1, Moorea",Moorea,E. Pacific,-17.4799999,-149.85,fringing,slope,10,10,Bleaching,2002,49.22,2001,44.06,2003,50.47,2004,2,1,6.41,NA,-5.16,-2.58,NA,26354,23970,15786,3160,2836,152,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3949080.54,4038,3949.08054,Whakatane,NA,35782,42424,0.74049934,0.8880504,0,0.979852,0.9725798,0.6779246,0.70516307,4,11,24122,24172,54,11,24122,24172,13,80,-0.476697592,-1.095329117,-0.23521069,2.052427223,-0.792015403,0.319639893,0.875218518,-0.237709953,-0.284622076,0.135826759,4.017886064,2001,2003,,,,
9,12,128,213,Edmunds et al (2015),70,"LTER 1, Moorea",Moorea,E. Pacific,-17.4799999,-149.85,fringing,slope,10,10,Storm,1992,50.94,1991,22.19,1993,49.22,2001,2,8,3.37875,NA,-28.75,-14.375,NA,26354,23970,15786,3160,2836,152,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,1428,221,3949080.54,4038,3949.08054,Whakatane,NA,35782,42424,0.74049934,0.8880504,0,0.979852,0.9725798,0.6779246,0.70516307,4,12,24122,24172,54,12,24122,24172,13,80,-0.476697592,0.768168717,-0.23521069,2.052427223,-0.792015403,0.319639893,0.875218518,-0.237709953,-0.284622076,-1.282783234,1.917755477,1991,1993,,,,
10,13,126,211,Glynn et al (2014),69,"Uva Island, Panama",Panama,E. Pacific,7.8129807,-81.75972,fringing,slope,3,7,Bleaching,"1983, 1997",13.1,1996,12.74,1998,34.25,2010,2,12,1.7925,NA,-0.36,-0.18,NA,364368,190403,68723,4498,126,0,Inside,Yes,Yes,6,12,100,Coiba,National Park,National,II: National Park,Not Reported,Designated,1992,1153,179,144618.9,208,144.6189,Santa Maria,NA,3338127,20806224,NA,0.4358744,0,0,0.7661284,0.7017117,0.36351476,5,13,NA,NA,NA,13,NA,NA,NA,NA,2.782704525,1.833024623,-0.239503908,-0.986448661,0.394169306,NA,-0.646061987,NA,NA,-1.495966735,1.194994234,1996,1998,,,,
11,14,125,210,Graham et al (2014),68,"John Brewer reef, GBR, Australia",Australia,W. Pacific,-18.6299999,147.05,fringing,mid-shelf,7,9,"Bleaching, COTS",1999-2003,23.94,1995,2,2003,3.85,2009,8,6,0.30833333,NA,-21.94,-2.7425,NA,94665,7314,530,0,0,40700,Inside,Yes,Yes,0,5,83.33333,Great Barrier Reef,Marine Park,National,IV: Protected Seascape: Habitat / Species Management Area,Part,Designated,2004,1329,194,669103.4,23,669.1034,Fitzroy,NA,2425302,7989796,0.66891424,0,0,0,0,0,0.1159811,1,14,24731,24782,4,14,24731,24782,124,248,0.182011864,0.235740765,0.910061807,-0.567508099,0.066287435,0.043968389,-1.748271833,-0.250494029,0.311223385,-1.136833501,0.637458275,1995,2003,,,,
12,15,122,208,Graham et al (2014),68,"Trunk Reef, GBR, Australia",Australia,W. Pacific,-18.3599999,146.83,fringing,mid-shelf,7,9,"Bleaching, COTS",1999-2003,31.73,1996,3.06,2005,6.07,2008,9,3,1.00333333,NA,-28.67,-3.1855556,NA,82835,18164,910,0,0,44300,Inside,Yes,Yes,1,3,100,Great Barrier Reef,Marine Park,National,IV: Protected Seascape: Habitat / Species Management Area,Part,Designated,2004,1329,194,707049.46,23,707.04946,Fitzroy,NA,2393751,7855730,0.61042123,0,0,0,0,0,0.10583917,1,15,24630,24681,3,15,24630,24681,143,313,0.067937515,-0.562901164,1.011743295,-0.537198063,0.054954484,-0.181285973,-1.79343149,-0.250749711,0.41321495,-0.4136686,1.443303587,1996,2005,,,,
13,16,123,209,Graham et al (2014),68,"Rib Reef, GBR, Australia",Australia,W. Pacific,-18.4799999,146.87,fringing,mid-shelf,7,9,"Bleaching, COTS",1999-2003,66.06,1995,3.94,2003,23.06,2009,8,6,3.18666667,NA,-62.12,-7.765,NA,99172,17734,1010,0,0,35200,Inside,Yes,Yes,0,5,83.33333,Great Barrier Reef,Marine Park,National,V: Protected SeascapeI: Protected area with sustainable use of natural resources,None,Designated,2004,1329,194,693709.15,23,693.70915,Fitzroy,NA,2425945,7907873,0.63323407,0,0,0,0,0,0.10979462,1,16,24657,24708,4,16,24657,24708,110,297,0.225471973,0.235740765,0.754715089,-0.547853854,0.066518397,-0.093434592,-1.775818791,-0.250494029,0.236071705,-0.024840678,1.58681853,1995,2003,,,,
14,17,119,205,McClanahan (2014),67,"Kanamai, Kenya",Kenya,Indian Ocean,-3.9204719,39.79315,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,22.3,1997,16.8,1999,34.9,2011,2,12,1.50833333,NA,-5.5,-2.75,NA,272487,169564,82074,24091,3953,835,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,189884.78,25,189.88478,Pangani,NA,6878746,28925744,0.9938941,0.9943036,0,0.9516448,0.9310174,0.9175096,0.7929728,2,17,15720,15755,8438,17,15720,15755,1,27,1.896714223,1.833024623,-0.215919452,-0.9502918,1.665940764,1.295453501,1.266214833,1.905923937,-0.349037801,-1.753798707,1.208901116,1997,1999,,,,
15,18,120,206,McClanahan (2014),67,"Ras Iwatine, Kenya",Kenya,Indian Ocean,-4.0699999,39.69,"fringing, back reef lagoon",,0.3,1.5,Bleaching,1998,19.9,1997,10.9,1999,26.4,2011,2,12,1.29166667,NA,-9,-4.5,NA,271998,179393,88754,26955,5527,1860,Outside,No,No,0,0,0,NA,NA,NA,NA,NA,NA,NA,602,91,169811.74,25,169.81174,Pangani,NA,7003587,29079911,0.99973778,0.9995238,0.9982233,0.9386402,0.990437,0.949017,0.9796477,1,18,15807,15842,41790,18,15807,15842,1,4,1.891998893,1.833024623,-0.186968472,-0.966325469,1.710782985,1.317957291,2.097434769,10.4334141,-0.349037801,-1.600305429,0.97640434,1997,1999,,,,
